-0.001	-0.008
-0.00099	-0.008
-0.00098	-0.008
-0.00097	-0.008
-0.00096	-0.004
-0.00095	-0.004
-0.00094	0
-0.00093	0
-0.00092	0
-0.00091	0
-0.0009	0.004
-0.00089	0.004
-0.00088	0.008
-0.00087	0.008
-0.00086	0.012
-0.00085	0.012
-0.00084	0.012
-0.00083	0.016
-0.00082	0.016
-0.00081	0.016
-0.0008	0.02
-0.00079	0.02
-0.00078	0.024
-0.00077	0.024
-0.00076	0.028
-0.00075	0.028
-0.00074	0.028
-0.00073	0.032
-0.00072	0.032
-0.00071	0.036
-0.0007	0.04
-0.00069	0.04
-0.00068	0.048
-0.00067	0.048
-0.00066	0.056
-0.00065	0.064
-0.00064	0.068
-0.00063	0.076
-0.00062	0.084
-0.00061	0.092
-0.0006	0.1
-0.00059	0.108
-0.00058	0.12
-0.00057	0.132
-0.00056	0.144
-0.00055	0.156
-0.00054	0.168
-0.00053	0.18
-0.00052	0.188
-0.00051	0.2
-0.0005	0.208
-0.00049	0.216
-0.00048	0.228
-0.00047	0.232
-0.00046	0.24
-0.00045	0.252
-0.00044	0.26
-0.00043	0.268
-0.00042	0.272
-0.00041	0.276
-0.0004	0.28
-0.00039	0.28
-0.00038	0.284
-0.00037	0.288
-0.00036	0.288
-0.00035	0.292
-0.00034	0.292
-0.00033	0.296
-0.00032	0.296
-0.00031	0.296
-0.0003	0.296
-0.00029	0.296
-0.00028	0.296
-0.00027	0.296
-0.00026	0.292
-0.00025	0.292
-0.00024	0.284
-0.00023	0.284
-0.00022	0.276
-0.00021	0.272
-0.0002	0.264
-0.00019	0.256
-0.00018	0.252
-0.00017	0.24
-0.00016	0.232
-0.00015	0.224
-0.00014	0.212
-0.00013	0.204
-0.00012	0.192
-0.00011	0.188
-0.0001	0.18
-0.00009	0.168
-0.00008	0.164
-0.00007	0.156
-0.00006	0.152
-0.00005	0.144
-0.00004	0.136
-0.00003	0.132
-0.00002	0.124
-0.00001	0.12
0	0.112
0.00001	0.104
0.00002	0.1
0.00003	0.096
0.00004	0.088
0.00005	0.08
0.00006	0.072
0.00007	0.068
0.00008	0.06
0.00009	0.052
0.0001	0.044
0.00011	0.036
0.00012	0.036
0.00013	0.028
0.00014	0.02
0.00015	0.016
0.00016	0.008
0.00017	0.004
0.00018	0
0.00019	0
0.0002	-0.004
0.00021	-0.008
0.00022	-0.012
0.00023	-0.016
0.00024	-0.016
0.00025	-0.016
0.00026	-0.02
0.00027	-0.02
0.00028	-0.02
0.00029	-0.02
0.0003	-0.024
0.00031	-0.024
0.00032	-0.024
0.00033	-0.024
0.00034	-0.024
0.00035	-0.024
0.00036	-0.024
0.00037	-0.024
0.00038	-0.024
0.00039	-0.024
0.0004	-0.024
0.00041	-0.024
0.00042	-0.024
0.00043	-0.024
0.00044	-0.024
0.00045	-0.024
0.00046	-0.024
0.00047	-0.024
0.00048	-0.024
0.00049	-0.024
0.0005	-0.024
0.00051	-0.024
0.00052	-0.024
0.00053	-0.024
0.00054	-0.024
0.00055	-0.024
0.00056	-0.024
0.00057	-0.024
0.00058	-0.024
0.00059	-0.024
0.0006	-0.024
0.00061	-0.024
0.00062	-0.024
0.00063	-0.024
0.00064	-0.024
0.00065	-0.02
0.00066	-0.024
0.00067	-0.024
0.00068	-0.024
0.00069	-0.024
0.0007	-0.024
0.00071	-0.024
0.00072	-0.02
0.00073	-0.024
0.00074	-0.024
0.00075	-0.024
0.00076	-0.024
0.00077	-0.02
0.00078	-0.024
0.00079	-0.024
0.0008	-0.02
0.00081	-0.024
0.00082	-0.02
0.00083	-0.024
0.00084	-0.02
0.00085	-0.02
0.00086	-0.024
0.00087	-0.02
0.00088	-0.02
0.00089	-0.02
0.0009	-0.02
0.00091	-0.02
0.00092	-0.02
0.00093	-0.024
0.00094	-0.02
0.00095	-0.02
0.00096	-0.024
0.00097	-0.02
0.00098	-0.02
0.00099	-0.02
0.001	-0.02
0.00101	-0.02
0.00102	-0.02
0.00103	-0.02
0.00104	-0.02
0.00105	-0.02
0.00106	-0.02
0.00107	-0.016
0.00108	-0.02
0.00109	-0.02
0.0011	-0.02
0.00111	-0.02
0.00112	-0.02
0.00113	-0.016
0.00114	-0.016
0.00115	-0.016
0.00116	-0.02
0.00117	-0.016
0.00118	-0.016
0.00119	-0.02
0.0012	-0.016
0.00121	-0.02
0.00122	-0.016
0.00123	-0.016
0.00124	-0.016
0.00125	-0.016
0.00126	-0.016
0.00127	-0.016
0.00128	-0.016
0.00129	-0.016
0.0013	-0.016
0.00131	-0.016
0.00132	-0.016
0.00133	-0.016
0.00134	-0.016
0.00135	-0.016
0.00136	-0.016
0.00137	-0.016
0.00138	-0.016
0.00139	-0.016
0.0014	-0.016
0.00141	-0.02
0.00142	-0.016
0.00143	-0.016
0.00144	-0.02
0.00145	-0.016
0.00146	-0.02
0.00147	-0.016
0.00148	-0.02
0.00149	-0.016
0.0015	-0.016
0.00151	-0.02
0.00152	-0.016
0.00153	-0.02
0.00154	-0.02
0.00155	-0.016
0.00156	-0.02
0.00157	-0.016
0.00158	-0.016
0.00159	-0.016
0.0016	-0.016
0.00161	-0.02
0.00162	-0.02
0.00163	-0.02
0.00164	-0.016
0.00165	-0.016
0.00166	-0.02
0.00167	-0.016
0.00168	-0.016
0.00169	-0.016
0.0017	-0.016
0.00171	-0.016
0.00172	-0.016
0.00173	-0.016
0.00174	-0.016
0.00175	-0.016
0.00176	-0.016
0.00177	-0.016
0.00178	-0.016
0.00179	-0.016
0.0018	-0.016
0.00181	-0.016
0.00182	-0.016
0.00183	-0.016
0.00184	-0.016
0.00185	-0.016
0.00186	-0.016
0.00187	-0.016
0.00188	-0.016
0.00189	-0.016
0.0019	-0.012
0.00191	-0.016
0.00192	-0.016
0.00193	-0.016
0.00194	-0.016
0.00195	-0.012
0.00196	-0.016
0.00197	-0.016
0.00198	-0.016
0.00199	-0.016
0.002	-0.016
0.00201	-0.016
0.00202	-0.016
0.00203	-0.016
0.00204	-0.016
0.00205	-0.016
0.00206	-0.016
0.00207	-0.016
0.00208	-0.016
0.00209	-0.016
0.0021	-0.016
0.00211	-0.016
0.00212	-0.016
0.00213	-0.016
0.00214	-0.016
0.00215	-0.016
0.00216	-0.02
0.00217	-0.016
0.00218	-0.016
0.00219	-0.016
0.0022	-0.016
0.00221	-0.016
0.00222	-0.016
0.00223	-0.016
0.00224	-0.016
0.00225	-0.016
0.00226	-0.02
0.00227	-0.016
0.00228	-0.016
0.00229	-0.016
0.0023	-0.016
0.00231	-0.016
0.00232	-0.016
0.00233	-0.016
0.00234	-0.016
0.00235	-0.016
0.00236	-0.016
0.00237	-0.016
0.00238	-0.016
0.00239	-0.016
0.0024	-0.012
0.00241	-0.016
0.00242	-0.012
0.00243	-0.016
0.00244	-0.016
0.00245	-0.016
0.00246	-0.016
0.00247	-0.016
0.00248	-0.016
0.00249	-0.016
0.0025	-0.016
0.00251	-0.016
0.00252	-0.012
0.00253	-0.016
0.00254	-0.016
0.00255	-0.016
0.00256	-0.016
0.00257	-0.016
0.00258	-0.016
0.00259	-0.016
0.0026	-0.016
0.00261	-0.016
0.00262	-0.016
0.00263	-0.016
0.00264	-0.016
0.00265	-0.016
0.00266	-0.016
0.00267	-0.016
0.00268	-0.016
0.00269	-0.016
0.0027	-0.016
0.00271	-0.016
0.00272	-0.016
0.00273	-0.016
0.00274	-0.016
0.00275	-0.016
0.00276	-0.016
0.00277	-0.016
0.00278	-0.016
0.00279	-0.016
0.0028	-0.016
0.00281	-0.02
0.00282	-0.016
0.00283	-0.016
0.00284	-0.016
0.00285	-0.016
0.00286	-0.016
0.00287	-0.016
0.00288	-0.016
0.00289	-0.016
0.0029	-0.016
0.00291	-0.02
0.00292	-0.016
0.00293	-0.016
0.00294	-0.016
0.00295	-0.016
0.00296	-0.02
0.00297	-0.016
0.00298	-0.016
0.00299	-0.02
0.003	-0.016
0.00301	-0.016
0.00302	-0.016
0.00303	-0.016
0.00304	-0.016
0.00305	-0.016
0.00306	-0.016
0.00307	-0.016
0.00308	-0.016
0.00309	-0.016
0.0031	-0.016
0.00311	-0.016
0.00312	-0.016
0.00313	-0.016
0.00314	-0.016
0.00315	-0.012
0.00316	-0.012
0.00317	-0.012
0.00318	-0.012
0.00319	-0.008
0.0032	-0.008
0.00321	-0.008
0.00322	-0.004
0.00323	-0.004
0.00324	0
0.00325	0.004
0.00326	0.008
0.00327	0.016
0.00328	0.02
0.00329	0.028
0.0033	0.036
0.00331	0.04
0.00332	0.052
0.00333	0.056
0.00334	0.064
0.00335	0.076
0.00336	0.084
0.00337	0.096
0.00338	0.108
0.00339	0.12
0.0034	0.128
0.00341	0.136
0.00342	0.148
0.00343	0.156
0.00344	0.16
0.00345	0.172
0.00346	0.18
0.00347	0.188
0.00348	0.196
0.00349	0.2
0.0035	0.204
0.00351	0.208
0.00352	0.216
0.00353	0.216
0.00354	0.224
0.00355	0.228
0.00356	0.232
0.00357	0.236
0.00358	0.24
0.00359	0.244
0.0036	0.248
0.00361	0.252
0.00362	0.252
0.00363	0.252
0.00364	0.256
0.00365	0.26
0.00366	0.252
0.00367	0.252
0.00368	0.248
0.00369	0.244
0.0037	0.236
0.00371	0.224
0.00372	0.22
0.00373	0.208
0.00374	0.2
0.00375	0.188
0.00376	0.176
0.00377	0.164
0.00378	0.152
0.00379	0.14
0.0038	0.132
0.00381	0.12
0.00382	0.112
0.00383	0.1
0.00384	0.092
0.00385	0.084
0.00386	0.072
0.00387	0.064
0.00388	0.056
0.00389	0.048
0.0039	0.044
0.00391	0.036
0.00392	0.032
0.00393	0.028
0.00394	0.024
0.00395	0.02
0.00396	0.012
0.00397	0.012
0.00398	0.004
0.00399	0
0.004	0
0.00401	0
0.00402	-0.004
0.00403	-0.008
0.00404	-0.008
0.00405	-0.008
0.00406	-0.012
0.00407	-0.012
0.00408	-0.016
0.00409	-0.016
0.0041	-0.016
0.00411	-0.016
0.00412	-0.016
0.00413	-0.016
0.00414	-0.016
0.00415	-0.016
0.00416	-0.02
0.00417	-0.016
0.00418	-0.02
0.00419	-0.02
0.0042	-0.016
0.00421	-0.02
0.00422	-0.016
0.00423	-0.016
0.00424	-0.016
0.00425	-0.016
0.00426	-0.02
0.00427	-0.016
0.00428	-0.02
0.00429	-0.016
0.0043	-0.016
0.00431	-0.016
0.00432	-0.016
0.00433	-0.016
0.00434	-0.016
0.00435	-0.016
0.00436	-0.016
0.00437	-0.016
0.00438	-0.016
0.00439	-0.016
0.0044	-0.016
0.00441	-0.016
0.00442	-0.016
0.00443	-0.016
0.00444	-0.016
0.00445	-0.016
0.00446	-0.016
0.00447	-0.016
0.00448	-0.016
0.00449	-0.016
0.0045	-0.016
0.00451	-0.016
0.00452	-0.016
0.00453	-0.016
0.00454	-0.012
0.00455	-0.016
0.00456	-0.016
0.00457	-0.016
0.00458	-0.016
0.00459	-0.016
0.0046	-0.016
0.00461	-0.016
0.00462	-0.016
0.00463	-0.016
0.00464	-0.016
0.00465	-0.012
0.00466	-0.016
0.00467	-0.016
0.00468	-0.016
0.00469	-0.016
0.0047	-0.016
0.00471	-0.016
0.00472	-0.016
0.00473	-0.016
0.00474	-0.016
0.00475	-0.012
0.00476	-0.016
0.00477	-0.016
0.00478	-0.016
0.00479	-0.016
0.0048	-0.016
0.00481	-0.016
0.00482	-0.016
0.00483	-0.016
0.00484	-0.016
0.00485	-0.016
0.00486	-0.016
0.00487	-0.016
0.00488	-0.012
0.00489	-0.016
0.0049	-0.016
0.00491	-0.016
0.00492	-0.012
0.00493	-0.016
0.00494	-0.016
0.00495	-0.012
0.00496	-0.016
0.00497	-0.016
0.00498	-0.016
0.00499	-0.016
0.005	-0.012
0.00501	-0.016
0.00502	-0.012
0.00503	-0.012
0.00504	-0.012
0.00505	-0.012
0.00506	-0.016
0.00507	-0.012
0.00508	-0.012
0.00509	-0.012
0.0051	-0.012
0.00511	-0.012
0.00512	-0.012
0.00513	-0.012
0.00514	-0.012
0.00515	-0.012
0.00516	-0.012
0.00517	-0.012
0.00518	-0.012
0.00519	-0.012
0.0052	-0.008
0.00521	-0.012
0.00522	-0.012
0.00523	-0.012
0.00524	-0.012
0.00525	-0.008
0.00526	-0.008
0.00527	-0.008
0.00528	-0.008
0.00529	-0.012
0.0053	-0.008
0.00531	-0.008
0.00532	-0.008
0.00533	-0.008
0.00534	-0.008
0.00535	-0.008
0.00536	-0.012
0.00537	-0.008
0.00538	-0.008
0.00539	-0.008
0.0054	-0.008
0.00541	-0.008
0.00542	-0.008
0.00543	-0.008
0.00544	-0.008
0.00545	-0.008
0.00546	-0.008
0.00547	-0.008
0.00548	-0.008
0.00549	-0.008
0.0055	-0.008
0.00551	-0.008
0.00552	-0.008
0.00553	-0.008
0.00554	-0.008
0.00555	-0.008
0.00556	-0.008
0.00557	-0.008
0.00558	-0.008
0.00559	-0.008
0.0056	-0.008
0.00561	-0.008
0.00562	-0.008
0.00563	-0.008
0.00564	-0.008
0.00565	-0.008
0.00566	-0.008
0.00567	-0.008
0.00568	-0.008
0.00569	-0.012
0.0057	-0.008
0.00571	-0.012
0.00572	-0.008
0.00573	-0.008
0.00574	-0.008
0.00575	-0.008
0.00576	-0.008
0.00577	-0.008
0.00578	-0.008
0.00579	-0.008
0.0058	-0.008
0.00581	-0.008
0.00582	-0.008
0.00583	-0.008
0.00584	-0.008
0.00585	-0.008
0.00586	-0.008
0.00587	-0.008
0.00588	-0.008
0.00589	-0.008
0.0059	-0.008
0.00591	-0.008
0.00592	-0.008
0.00593	-0.008
0.00594	-0.008
0.00595	-0.008
0.00596	-0.008
0.00597	-0.008
0.00598	-0.008
0.00599	-0.008
0.006	-0.008
0.00601	-0.008
0.00602	-0.008
0.00603	-0.008
0.00604	-0.008
0.00605	-0.008
0.00606	-0.008
0.00607	-0.008
0.00608	-0.008
0.00609	-0.008
0.0061	-0.008
0.00611	-0.008
0.00612	-0.008
0.00613	-0.008
0.00614	-0.008
0.00615	-0.008
0.00616	-0.008
0.00617	-0.004
0.00618	-0.008
0.00619	-0.008
0.0062	-0.004
0.00621	-0.008
0.00622	-0.008
0.00623	-0.008
0.00624	-0.008
0.00625	-0.008
0.00626	-0.008
0.00627	-0.008
0.00628	-0.008
0.00629	-0.004
0.0063	-0.004
0.00631	-0.008
0.00632	-0.008
0.00633	-0.008
0.00634	-0.008
0.00635	-0.004
0.00636	-0.008
0.00637	-0.004
0.00638	-0.004
0.00639	-0.008
0.0064	-0.008
0.00641	-0.008
0.00642	-0.004
0.00643	-0.004
0.00644	-0.008
0.00645	-0.004
0.00646	-0.008
0.00647	-0.004
0.00648	-0.004
0.00649	-0.004
0.0065	-0.004
0.00651	-0.004
0.00652	0
0.00653	0
0.00654	0
0.00655	0
0.00656	0
0.00657	0.004
0.00658	0.008
0.00659	0.008
0.0066	0.012
0.00661	0.012
0.00662	0.016
0.00663	0.02
0.00664	0.028
0.00665	0.036
0.00666	0.04
0.00667	0.048
0.00668	0.056
0.00669	0.064
0.0067	0.072
0.00671	0.076
0.00672	0.088
0.00673	0.096
0.00674	0.104
0.00675	0.116
0.00676	0.12
0.00677	0.132
0.00678	0.14
0.00679	0.144
0.0068	0.152
0.00681	0.156
0.00682	0.164
0.00683	0.168
0.00684	0.176
0.00685	0.18
0.00686	0.18
0.00687	0.188
0.00688	0.192
0.00689	0.192
0.0069	0.196
0.00691	0.2
0.00692	0.204
0.00693	0.208
0.00694	0.212
0.00695	0.216
0.00696	0.216
0.00697	0.216
0.00698	0.216
0.00699	0.216
0.007	0.216
0.00701	0.216
0.00702	0.212
0.00703	0.208
0.00704	0.2
0.00705	0.196
0.00706	0.188
0.00707	0.18
0.00708	0.168
0.00709	0.16
0.0071	0.152
0.00711	0.14
0.00712	0.132
0.00713	0.124
0.00714	0.112
0.00715	0.104
0.00716	0.092
0.00717	0.084
0.00718	0.076
0.00719	0.068
0.0072	0.064
0.00721	0.056
0.00722	0.048
0.00723	0.044
0.00724	0.036
0.00725	0.032
0.00726	0.028
0.00727	0.024
0.00728	0.02
0.00729	0.016
0.0073	0.016
0.00731	0.012
0.00732	0.012
0.00733	0.008
0.00734	0.004
0.00735	0.004
0.00736	0
0.00737	0
0.00738	-0.004
0.00739	-0.004
0.0074	-0.004
0.00741	-0.008
0.00742	-0.008
0.00743	-0.008
0.00744	-0.008
0.00745	-0.008
0.00746	-0.008
0.00747	-0.008
0.00748	-0.012
0.00749	-0.012
0.0075	-0.008
0.00751	-0.012
0.00752	-0.012
0.00753	-0.012
0.00754	-0.012
0.00755	-0.012
0.00756	-0.008
0.00757	-0.008
0.00758	-0.008
0.00759	-0.008
0.0076	-0.008
0.00761	-0.012
0.00762	-0.008
0.00763	-0.008
0.00764	-0.012
0.00765	-0.008
0.00766	-0.012
0.00767	-0.008
0.00768	-0.008
0.00769	-0.012
0.0077	-0.008
0.00771	-0.012
0.00772	-0.008
0.00773	-0.008
0.00774	-0.012
0.00775	-0.008
0.00776	-0.008
0.00777	-0.008
0.00778	-0.008
0.00779	-0.008
0.0078	-0.008
0.00781	-0.008
0.00782	-0.008
0.00783	-0.008
0.00784	-0.008
0.00785	-0.008
0.00786	-0.008
0.00787	-0.008
0.00788	-0.008
0.00789	-0.008
0.0079	-0.008
0.00791	-0.008
0.00792	-0.008
0.00793	-0.008
0.00794	-0.008
0.00795	-0.008
0.00796	-0.008
0.00797	-0.008
0.00798	-0.008
0.00799	-0.008
0.008	-0.008
0.00801	-0.008
0.00802	-0.008
0.00803	-0.008
0.00804	-0.008
0.00805	-0.008
0.00806	-0.008
0.00807	-0.004
0.00808	-0.008
0.00809	-0.008
0.0081	-0.004
0.00811	-0.004
0.00812	-0.004
0.00813	-0.004
0.00814	-0.004
0.00815	-0.004
0.00816	-0.004
0.00817	0
0.00818	0
0.00819	0
0.0082	0.004
0.00821	0.004
0.00822	0.008
0.00823	0.012
0.00824	0.012
0.00825	0.016
0.00826	0.016
0.00827	0.024
0.00828	0.024
0.00829	0.028
0.0083	0.032
0.00831	0.036
0.00832	0.04
0.00833	0.044
0.00834	0.048
0.00835	0.052
0.00836	0.052
0.00837	0.056
0.00838	0.056
0.00839	0.06
0.0084	0.064
0.00841	0.064
0.00842	0.068
0.00843	0.068
0.00844	0.068
0.00845	0.072
0.00846	0.072
0.00847	0.076
0.00848	0.076
0.00849	0.076
0.0085	0.08
0.00851	0.08
0.00852	0.084
0.00853	0.08
0.00854	0.08
0.00855	0.084
0.00856	0.084
0.00857	0.084
0.00858	0.084
0.00859	0.08
0.0086	0.08
0.00861	0.076
0.00862	0.076
0.00863	0.072
0.00864	0.068
0.00865	0.068
0.00866	0.06
0.00867	0.06
0.00868	0.056
0.00869	0.052
0.0087	0.048
0.00871	0.044
0.00872	0.04
0.00873	0.036
0.00874	0.032
0.00875	0.032
0.00876	0.024
0.00877	0.024
0.00878	0.02
0.00879	0.016
0.0088	0.016
0.00881	0.012
0.00882	0.012
0.00883	0.008
0.00884	0.008
0.00885	0.008
0.00886	0.004
0.00887	0.004
0.00888	0.004
0.00889	0
0.0089	0
0.00891	-0.004
0.00892	0
0.00893	-0.004
0.00894	-0.004
0.00895	-0.004
0.00896	-0.004
0.00897	-0.004
0.00898	-0.008
0.00899	-0.008
0.009	-0.008
0.00901	-0.008
0.00902	-0.008
0.00903	-0.008
0.00904	-0.008
0.00905	-0.004
0.00906	-0.008
0.00907	-0.008
0.00908	-0.008
0.00909	-0.008
0.0091	-0.008
0.00911	-0.008
0.00912	-0.008
0.00913	-0.008
0.00914	-0.008
0.00915	-0.008
0.00916	-0.008
0.00917	-0.004
0.00918	-0.008
0.00919	-0.008
0.0092	-0.004
0.00921	-0.008
0.00922	-0.004
0.00923	-0.004
0.00924	-0.008
0.00925	-0.004
0.00926	-0.008
0.00927	-0.004
0.00928	-0.004
0.00929	-0.004
0.0093	-0.004
0.00931	-0.008
0.00932	-0.004
0.00933	-0.004
0.00934	-0.004
0.00935	-0.004
0.00936	-0.008
0.00937	-0.004
0.00938	-0.004
0.00939	-0.004
0.0094	-0.004
0.00941	-0.004
0.00942	-0.004
0.00943	-0.004
0.00944	-0.004
0.00945	-0.004
0.00946	-0.004
0.00947	-0.004
0.00948	-0.004
0.00949	-0.004
0.0095	-0.004
0.00951	-0.004
0.00952	-0.004
0.00953	-0.004
0.00954	-0.008
0.00955	-0.004
0.00956	-0.008
0.00957	-0.008
0.00958	-0.004
0.00959	-0.004
0.0096	-0.004
0.00961	-0.008
0.00962	-0.004
0.00963	-0.004
0.00964	-0.008
0.00965	-0.004
0.00966	-0.008
0.00967	-0.004
0.00968	-0.008
0.00969	-0.008
0.0097	-0.004
0.00971	-0.008
0.00972	-0.004
0.00973	-0.004
0.00974	-0.008
0.00975	-0.004
0.00976	-0.008
0.00977	-0.004
0.00978	-0.008
0.00979	-0.008
0.0098	-0.004
0.00981	-0.008
0.00982	-0.004
0.00983	-0.004
0.00984	-0.008
0.00985	-0.004
0.00986	-0.008
0.00987	-0.008
0.00988	-0.008
0.00989	-0.008
0.0099	-0.004
0.00991	-0.008
0.00992	-0.004
0.00993	-0.004
0.00994	-0.008
0.00995	-0.004
0.00996	-0.008
0.00997	-0.004
0.00998	-0.004
0.00999	-0.008
0.01	-0.004
0.01001	-0.008
0.01002	-0.004
0.01003	-0.008
0.01004	-0.004
0.01005	-0.004
0.01006	-0.004
0.01007	-0.004
0.01008	-0.004
0.01009	-0.004
0.0101	0
0.01011	-0.004
0.01012	0
0.01013	0
0.01014	0
0.01015	0
0.01016	0
0.01017	0
0.01018	0
0.01019	0
0.0102	0.004
0.01021	0.004
0.01022	0.008
0.01023	0.008
0.01024	0.012
0.01025	0.012
0.01026	0.012
0.01027	0.016
0.01028	0.016
0.01029	0.016
0.0103	0.02
0.01031	0.02
0.01032	0.024
0.01033	0.024
0.01034	0.024
0.01035	0.028
0.01036	0.032
0.01037	0.036
0.01038	0.036
0.01039	0.04
0.0104	0.04
0.01041	0.044
0.01042	0.048
0.01043	0.048
0.01044	0.052
0.01045	0.056
0.01046	0.056
0.01047	0.06
0.01048	0.064
0.01049	0.064
0.0105	0.068
0.01051	0.068
0.01052	0.072
0.01053	0.076
0.01054	0.076
0.01055	0.08
0.01056	0.08
0.01057	0.08
0.01058	0.08
0.01059	0.08
0.0106	0.084
0.01061	0.08
0.01062	0.084
0.01063	0.08
0.01064	0.08
0.01065	0.08
0.01066	0.08
0.01067	0.08
0.01068	0.08
0.01069	0.076
0.0107	0.076
0.01071	0.076
0.01072	0.076
0.01073	0.072
0.01074	0.072
0.01075	0.072
0.01076	0.068
0.01077	0.068
0.01078	0.068
0.01079	0.064
0.0108	0.064
0.01081	0.06
0.01082	0.06
0.01083	0.06
0.01084	0.056
0.01085	0.056
0.01086	0.052
0.01087	0.052
0.01088	0.052
0.01089	0.048
0.0109	0.048
0.01091	0.04
0.01092	0.04
0.01093	0.036
0.01094	0.036
0.01095	0.032
0.01096	0.028
0.01097	0.028
0.01098	0.024
0.01099	0.02
0.011	0.02
0.01101	0.016
0.01102	0.016
0.01103	0.012
0.01104	0.008
0.01105	0.008
0.01106	0.004
0.01107	0.004
0.01108	0.004
0.01109	0
